Country,Region,Year,log_gni_cap_1000usd_2011ppp,hdi,perc_emp_women_agric,perc_emp_men_agric,avg_yrs_school_female
Uganda,Western,2007,7.3665,0.457,85.15,65.8,3.964
Nigeria,Abia,2008,8.846,0.56,22,10.6,7.312
Nigeria,Abuja FCT,2008,9.127,0.611,16.8,21.7,8.584
Nigeria,Adamawa,2008,7.881,0.425,45.2,54,2.634
Nigeria,Akwa Ibom,2008,8.503,0.548,8.01,14.6,7.071
Nigeria,Anambra,2008,8.871,0.565,15.4,14,7.292
Nigeria,Bauchi,2008,7.71,0.325,4.03,52.4,1.182
Nigeria,Bayelsa,2008,8.182,0.511,43.6,25.4,5.769
Nigeria,Benue,2008,7.869,0.473,83.8,69.6,3.345
Nigeria,Borno,2008,7.879,0.307,60.8,54.2,1.052
Nigeria,Cross River,2008,8.015,0.543,60.4,48.2,6.02
Nigeria,Delta,2008,8.622,0.567,32.5,22.1,6.551
Nigeria,Ebonyi,2008,8.04,0.485,50.8,47.3,3.536
Nigeria,Edo,2008,8.811,0.587,27.2,30.1,7.172
Nigeria,Ekiti,2008,8.414,0.576,13.6,36.8,6.851
Nigeria,Enugu,2008,8.277,0.518,29.9,29.9,4.678
Nigeria,Gombe,2008,7.857,0.406,27.9,60.7,2.424
Nigeria,Imo,2008,8.697,0.546,19,11.8,6.671
Nigeria,Jigawa,2008,7.701,0.321,2.36,57.3,0.921
Nigeria,Kaduna,2008,8.455,0.492,28.6,58.7,3.996
Nigeria,Kano,2008,8.197,0.411,0.53,26.6,1.943
Nigeria,Katsina,2008,7.956,0.332,10.6,61.8,0.531
Nigeria,Kebbi,2008,7.921,0.351,27.8,69.3,1.082
Nigeria,Kogi,2008,8.395,0.555,23.7,43.9,4.527
Nigeria,Kwara,2008,8.312,0.526,36.1,53.9,4.557
Nigeria,Lagos,2008,9.291,0.64,1.56,4.48,9.515
Nigeria,Nasarawa,2008,8.193,0.498,67.9,58,3.345
Nigeria,Niger,2008,8.291,0.419,15.7,63.3,2.063
Nigeria,Ogun,2008,8.322,0.525,27.8,35,4.958
Nigeria,Ondo,2008,8.353,0.567,26.2,42.2,5.869
Nigeria,Osun,2008,8.451,0.604,3.3,27.8,5.95
Nigeria,Oyo,2008,8.47,0.552,15.3,28.3,5.329
Nigeria,Plateau,2008,7.921,0.501,59.1,58.3,4.087
Nigeria,Rivers,2008,8.599,0.56,26.6,23.1,7.672
Nigeria,Sokoto,2008,7.805,0.322,0.53,45.3,0.641
Nigeria,Taraba,2008,7.8,0.432,55.1,68,2.614
Nigeria,Yobe,2008,7.713,0.329,23.8,60.3,0.871
Nigeria,Zamfora,2008,7.745,0.319,2.63,50.2,0.791
Sierra Leone,Bo,2008,7.233,0.402,56.7,48.1,1.967
Sierra Leone,Bombali,2008,7.157,0.425,50,45.8,1.514
Sierra Leone,Bonthe,2008,7.052,0.358,50.7,65.1,1.53
Sierra Leone,Kailahun,2008,7.002,0.388,78.1,73.8,1.171
Sierra Leone,Kambia,2008,7.158,0.367,64.8,76.8,0.515
Sierra Leone,Kenema,2008,7.199,0.398,64.4,56.9,1.53
Sierra Leone,Koinadugu,2008,7.008,0.307,85.2,80.9,0.453
Sierra Leone,Kono,2008,7.063,0.39,61.1,50,1.327
Sierra Leone,Moyamba,2008,6.958,0.363,81.1,79.9,1.624
Sierra Leone,Port Loko,2008,7.115,0.388,56.1,68.3,1.296
Sierra Leone,Pujehun,2008,7.028,0.317,71.1,81.6,0.905
Sierra Leone,Tonkolili,2008,6.978,0.34,75.4,76,0.687
Sierra Leone,Western Rural,2008,7.672,0.443,8.62,27.2,4.012
Sierra Leone,Western Urban,2008,8.142,0.57,0.55,5.32,8.461
Uganda,Central 1 (Central South),2008,7.579,0.497,54.8,52,6.59
Uganda,Central 2 (Central North),2008,7.508,0.504,65,56.2,6.227
Uganda,East Central (Busoga),2008,7.423,0.492,78,59,5.32
Uganda,"Eastern (Bukedi, Bugishu, Teso)",2008,7.283,0.487,87.2,63.8,4.518
Uganda,Kampala,2008,8.318,0.62,12.4,16,11.91
Uganda,"North (Karamoja, Lango, Acholi)",2008,7.191,0.433,78.3,73.7,3.092
Uganda,"Southwest (Ankole, Kigezi)",2008,7.428,0.462,84.6,64.1,4.211
Uganda,West Nile,2008,7.255,0.452,56.6,63.5,3.482
Uganda,"Western (Bunyoro, Tooro)",2008,7.408,0.468,84.4,69.3,4.33
Uganda,Central,2008,7.801666667,0.540333333,44.06666667,41.4,8.242333333
Uganda,Northern,2008,7.223,0.4425,67.45,68.6,3.287
Uganda,Eastern,2008,7.353,0.4895,82.6,61.4,4.919
Uganda,Western,2008,7.418,0.465,84.5,66.7,4.2705
Nigeria,Abia,2009,8.849,0.559,23.1,13,7.002
Nigeria,Abuja FCT,2009,9.173,0.616,15.9,22,8.365
Nigeria,Adamawa,2009,7.994,0.435,42.2,51,2.76
Nigeria,Akwa Ibom,2009,8.568,0.554,10,16.2,6.731
Nigeria,Anambra,2009,8.947,0.575,15.3,15,7.205
Nigeria,Bauchi,2009,7.766,0.332,3.91,53,1.234
Nigeria,Bayelsa,2009,8.293,0.525,41.1,27.2,5.756
Nigeria,Benue,2009,7.927,0.479,80.7,68.6,3.322
Nigeria,Borno,2009,7.973,0.33,52.6,53,1.198
Nigeria,Cross River,2009,8.104,0.542,57.1,47.4,5.714
Nigeria,Delta,2009,8.668,0.571,30.8,22.6,6.403
Nigeria,Ebonyi,2009,8.081,0.486,48.3,46.5,3.525
Nigeria,Edo,2009,8.853,0.59,25.9,29.4,6.901
Nigeria,Ekiti,2009,8.533,0.579,12.2,33.4,6.776
Nigeria,Enugu,2009,8.353,0.522,29.4,29,4.668
Nigeria,Gombe,2009,7.948,0.405,23.8,59.8,2.298
Nigeria,Imo,2009,8.74,0.549,18,11.4,6.53
Nigeria,Jigawa,2009,7.776,0.324,2.39,54.6,0.876
Nigeria,Kaduna,2009,8.505,0.5,23.9,54.7,4.033
Nigeria,Kano,2009,8.246,0.416,0.59,26.2,1.828
Nigeria,Katsina,2009,8.008,0.336,9.09,58.4,0.612
Nigeria,Kebbi,2009,7.953,0.35,23.9,67.2,1.003
Nigeria,Kogi,2009,8.444,0.558,22.8,42.3,4.446
Nigeria,Kwara,2009,8.457,0.542,29.9,47.3,4.611
Nigeria,Lagos,2009,9.302,0.634,1.43,4.15,9.065
Nigeria,Nasarawa,2009,8.268,0.5,64.7,56.6,3.271
Nigeria,Niger,2009,8.33,0.43,14.3,61.6,1.957
Nigeria,Ogun,2009,8.382,0.529,24.8,32.5,4.861
Nigeria,Ondo,2009,8.44,0.566,25,42.1,5.925
Nigeria,Osun,2009,8.545,0.606,3.91,26.9,5.974
Nigeria,Oyo,2009,8.534,0.553,14.6,28.6,5.295
Nigeria,Plateau,2009,8.017,0.502,54.6,55.6,4.035
Nigeria,Rivers,2009,8.658,0.566,26.4,23.7,7.582
Nigeria,Sokoto,2009,7.869,0.324,0.49,41.7,0.62
Nigeria,Taraba,2009,7.852,0.435,51.4,64.7,2.588
Nigeria,Yobe,2009,7.767,0.322,21.5,59.3,0.853
Nigeria,Zamfora,2009,7.791,0.322,2.44,47.6,0.745
Sierra Leone,Bo,2009,7.258,0.415,53.5,46.5,2.099
Sierra Leone,Bombali,2009,7.188,0.438,52.8,49.3,1.642
Sierra Leone,Bonthe,2009,7.064,0.375,51.3,66.8,1.623
Sierra Leone,Kailahun,2009,7.014,0.397,76.1,72.5,1.294
Sierra Leone,Kambia,2009,7.173,0.376,64.1,76.9,0.583
Sierra Leone,Kenema,2009,7.225,0.406,61.4,55.2,1.689
Sierra Leone,Koinadugu,2009,7.011,0.321,83.3,79.2,0.486
Sierra Leone,Kono,2009,7.084,0.398,58.4,48.8,1.335
Sierra Leone,Moyamba,2009,6.978,0.371,80.1,79.1,1.585
Sierra Leone,Port Loko,2009,7.135,0.395,53.5,66.8,1.366
Sierra Leone,Pujehun,2009,7.065,0.333,67.7,74.8,0.99
Sierra Leone,Tonkolili,2009,7.022,0.357,71.3,71.7,0.843
Sierra Leone,Western Rural,2009,7.681,0.459,8.46,25.7,4.211
Sierra Leone,Western Urban,2009,8.174,0.578,1.06,5.91,8.456
Uganda,Central 1 (Central South),2009,7.617,0.507,54,55.9,6.523
Uganda,Central 2 (Central North),2009,7.543,0.514,64.1,58.4,6.186
Uganda,East Central (Busoga),2009,7.448,0.499,75.4,60.6,5.295
Uganda,"Eastern (Bukedi, Bugishu, Teso)",2009,7.307,0.494,85.4,65.9,4.51
Uganda,Kampala,2009,8.367,0.63,17.1,21.5,11.69
Uganda,"North (Karamoja, Lango, Acholi)",2009,7.211,0.442,73.2,73.1,3.107
Uganda,"Southwest (Ankole, Kigezi)",2009,7.454,0.471,84.8,65.5,4.144
Uganda,West Nile,2009,7.271,0.458,52.4,64.1,3.458
Uganda,"Western (Bunyoro, Tooro)",2009,7.452,0.479,82.9,69.8,4.497
Uganda,Central,2009,7.842333333,0.550333333,45.06666667,45.26666667,8.133
Uganda,Northern,2009,7.241,0.45,62.8,68.6,3.2825
Uganda,Eastern,2009,7.3775,0.4965,80.4,63.25,4.9025
Uganda,Western,2009,7.453,0.475,83.85,67.65,4.3205
Nigeria,Abia,2010,8.849,0.556,24.2,15.4,6.69
Nigeria,Abuja FCT,2010,9.219,0.618,15,22.2,8.128
Nigeria,Adamawa,2010,8.107,0.445,39.2,48.1,2.86
Nigeria,Akwa Ibom,2010,8.633,0.559,12.1,17.7,6.393
Nigeria,Anambra,2010,9.022,0.582,15.3,16.1,7.091
Nigeria,Bauchi,2010,7.822,0.338,3.78,53.7,1.275
Nigeria,Bayelsa,2010,8.403,0.537,38.6,28.9,5.716
Nigeria,Benue,2010,7.983,0.483,77.7,67.7,3.284
Nigeria,Borno,2010,8.066,0.352,44.4,51.7,1.323
Nigeria,Cross River,2010,8.193,0.54,53.8,46.7,5.413
Nigeria,Delta,2010,8.713,0.572,29,23.1,6.239
Nigeria,Ebonyi,2010,8.122,0.485,45.7,45.7,3.497
Nigeria,Edo,2010,8.893,0.591,24.6,28.8,6.625
Nigeria,Ekiti,2010,8.651,0.58,10.7,29.9,6.676
Nigeria,Enugu,2010,8.428,0.525,28.9,28.2,4.636
Nigeria,Gombe,2010,8.038,0.402,19.7,58.9,2.174
Nigeria,Imo,2010,8.781,0.549,17,11.1,6.371
Nigeria,Jigawa,2010,7.85,0.327,2.43,52,0.831
Nigeria,Kaduna,2010,8.553,0.506,19.3,50.7,4.045
Nigeria,Kano,2010,8.294,0.42,0.66,25.9,1.715
Nigeria,Katsina,2010,8.059,0.338,7.54,54.9,0.682
Nigeria,Kebbi,2010,7.983,0.347,19.9,65.1,0.928
Nigeria,Kogi,2010,8.492,0.558,21.9,40.7,4.351
Nigeria,Kwara,2010,8.602,0.556,23.7,40.7,4.636
Nigeria,Lagos,2010,9.312,0.626,1.3,3.83,8.617
Nigeria,Nasarawa,2010,8.341,0.501,61.4,55.2,3.187
Nigeria,Niger,2010,8.369,0.439,12.8,59.8,1.852
Nigeria,Ogun,2010,8.44,0.532,21.9,29.9,4.751
Nigeria,Ondo,2010,8.526,0.563,23.7,41.9,5.945
Nigeria,Osun,2010,8.638,0.605,4.51,26,5.966
Nigeria,Oyo,2010,8.597,0.552,13.9,28.9,5.239
Nigeria,Plateau,2010,8.112,0.501,50.1,53,3.968
Nigeria,Rivers,2010,8.715,0.57,26.1,24.4,7.463
Nigeria,Sokoto,2010,7.933,0.325,0.45,38.2,0.598
Nigeria,Taraba,2010,7.903,0.435,47.6,61.3,2.552
Nigeria,Yobe,2010,7.82,0.313,19.3,58.3,0.833
Nigeria,Zamfora,2010,7.836,0.324,2.25,45.1,0.7
Sierra Leone,Bo,2010,7.222,0.424,50.4,45,2.232
Sierra Leone,Bombali,2010,7.158,0.448,55.7,52.8,1.77
Sierra Leone,Bonthe,2010,7.017,0.387,51.8,68.4,1.716
Sierra Leone,Kailahun,2010,6.967,0.402,74,71.2,1.418
Sierra Leone,Kambia,2010,7.127,0.382,63.4,76.9,0.651
Sierra Leone,Kenema,2010,7.191,0.41,58.4,53.6,1.848
Sierra Leone,Koinadugu,2010,6.955,0.332,81.4,77.6,0.519
Sierra Leone,Kono,2010,7.046,0.402,55.8,47.6,1.342
Sierra Leone,Moyamba,2010,6.939,0.375,79,78.3,1.547
Sierra Leone,Port Loko,2010,7.095,0.4,50.9,65.3,1.436
Sierra Leone,Pujehun,2010,7.042,0.346,64.4,68,1.075
Sierra Leone,Tonkolili,2010,7.008,0.37,67.1,67.3,1
Sierra Leone,Western Rural,2010,7.625,0.472,8.3,24.1,4.41
Sierra Leone,Western Urban,2010,8.137,0.583,1.57,6.5,8.449
Uganda,Central 1 (Central South),2010,7.642,0.516,53.2,59.7,6.464
Uganda,Central 2 (Central North),2010,7.565,0.523,63.2,60.5,6.15
Uganda,East Central (Busoga),2010,7.459,0.504,72.8,62.2,5.273
Uganda,"Eastern (Bukedi, Bugishu, Teso)",2010,7.318,0.501,83.6,68.1,4.504
Uganda,Kampala,2010,8.402,0.639,21.8,27,11.49
Uganda,"North (Karamoja, Lango, Acholi)",2010,7.219,0.449,68.1,72.5,3.123
Uganda,"Southwest (Ankole, Kigezi)",2010,7.466,0.478,85,66.8,4.082
Uganda,West Nile,2010,7.274,0.463,48.2,64.6,3.437
Uganda,"Western (Bunyoro, Tooro)",2010,7.482,0.489,81.4,70.2,4.655
Uganda,Central,2010,7.869666667,0.559333333,46.06666667,49.06666667,8.034666667
Uganda,Northern,2010,7.2465,0.456,58.15,68.55,3.28
Uganda,Eastern,2010,7.3885,0.5025,78.2,65.15,4.8885
Uganda,Western,2010,7.474,0.4835,83.2,68.5,4.3685
Nigeria,Abia,2011,8.83,0.567,25.3,17.8,7.041
Nigeria,Abuja FCT,2011,9.243,0.635,14.2,22.4,8.694
Nigeria,Adamawa,2011,8.201,0.464,36.1,45.1,3.238
